,artist,date,genre,song,year
317,eminem featuring rihanna,2014-02-01,R_and_B,the monster,2014
318,eminem featuring rihanna,2014-02-08,R_and_B,the monster,2014
319,beyonce featuring jay z,2014-02-15,R_and_B,drunk in love,2014
320,pharrell williams,2014-02-22,R_and_B,happy,2014
321,pharrell williams,2014-03-01,R_and_B,happy,2014
322,pharrell williams,2014-03-08,R_and_B,happy,2014
323,pharrell williams,2014-03-15,R_and_B,happy,2014
324,pharrell williams,2014-03-22,R_and_B,happy,2014
325,pharrell williams,2014-03-29,R_and_B,happy,2014
326,pharrell williams,2014-04-05,R_and_B,happy,2014
327,pharrell williams,2014-04-12,R_and_B,happy,2014
328,pharrell williams,2014-04-19,R_and_B,happy,2014
329,pharrell williams,2014-04-26,R_and_B,happy,2014
330,pharrell williams,2014-05-03,R_and_B,happy,2014
331,pharrell williams,2014-05-10,R_and_B,happy,2014
332,john legend,2014-05-17,R_and_B,all of me,2014
333,john legend,2014-05-24,R_and_B,all of me,2014
334,john legend,2014-05-31,R_and_B,all of me,2014
335,iggy azalea featuring charli xcx,2014-06-07,R_and_B,fancy,2014
336,iggy azalea featuring charli xcx,2014-06-14,R_and_B,fancy,2014
337,iggy azalea featuring charli xcx,2014-06-21,R_and_B,fancy,2014
338,iggy azalea featuring charli xcx,2014-06-28,R_and_B,fancy,2014
339,iggy azalea featuring charli xcx,2014-07-05,R_and_B,fancy,2014
340,iggy azalea featuring charli xcx,2014-07-12,R_and_B,fancy,2014
341,iggy azalea featuring charli xcx,2014-07-19,R_and_B,fancy,2014
342,iggy azalea featuring charli xcx,2014-07-26,R_and_B,fancy,2014
343,iggy azalea featuring charli xcx,2014-08-02,R_and_B,fancy,2014
344,iggy azalea featuring charli xcx,2014-08-09,R_and_B,fancy,2014
345,iggy azalea featuring charli xcx,2014-08-16,R_and_B,fancy,2014
346,iggy azalea featuring charli xcx,2014-08-23,R_and_B,fancy,2014
347,iggy azalea featuring charli xcx,2014-08-30,R_and_B,fancy,2014
348,nicki minaj,2014-09-06,R_and_B,anaconda,2014
349,nicki minaj,2014-09-13,R_and_B,anaconda,2014
350,nicki minaj,2014-09-20,R_and_B,anaconda,2014
351,nicki minaj,2014-09-27,R_and_B,anaconda,2014
352,nicki minaj,2014-10-04,R_and_B,anaconda,2014
353,nicki minaj,2014-10-11,R_and_B,anaconda,2014
354,iggy azalea featuring rita ora,2014-10-18,R_and_B,black widow,2014
355,iggy azalea featuring rita ora,2014-10-25,R_and_B,black widow,2014
356,iggy azalea featuring rita ora,2014-11-01,R_and_B,black widow,2014
357,iggy azalea featuring rita ora,2014-11-08,R_and_B,black widow,2014
358,iggy azalea featuring rita ora,2014-11-15,R_and_B,black widow,2014
359,bobby shmurda,2014-11-22,R_and_B,hot boy,2014
360,bobby shmurda,2014-11-29,R_and_B,hot boy,2014
361,big sean featuring e-40,2014-12-06,R_and_B,i don't f**k with you,2014
362,big sean featuring e-40,2014-12-13,R_and_B,i don't f**k with you,2014
363,beyonce,2014-12-20,R_and_B,7/11,2014
364,"nicki minaj featuring drake, lil wayne & chris brown",2014-12-27,R_and_B,only,2014
365,taylor swift,2008-01-05,Country,our song,2008
366,taylor swift,2008-01-12,Country,our song,2008
367,taylor swift,2008-01-19,Country,our song,2008
368,taylor swift,2008-01-26,Country,our song,2008
369,brad paisley,2008-02-02,Country,letter to me,2008
370,brad paisley,2008-02-09,Country,letter to me,2008
371,brad paisley,2008-02-16,Country,letter to me,2008
372,brad paisley,2008-02-23,Country,letter to me,2008
373,rodney atkins,2008-03-01,Country,cleaning this gun (come on in boy),2008
374,rodney atkins,2008-03-08,Country,cleaning this gun (come on in boy),2008
375,carrie underwood,2008-03-15,Country,all-american girl,2008
376,carrie underwood,2008-03-22,Country,all-american girl,2008
377,alan jackson,2008-03-29,Country,small town southern man,2008
378,alan jackson,2008-04-05,Country,small town southern man,2008
379,trace adkins,2008-04-12,Country,you're gonna miss this,2008
380,trace adkins,2008-04-19,Country,you're gonna miss this,2008
381,trace adkins,2008-04-26,Country,you're gonna miss this,2008
382,george strait,2008-05-03,Country,i saw god today,2008
383,george strait,2008-05-10,Country,i saw god today,2008
384,james otto,2008-05-17,Country,just got started lovin' you,2008
385,james otto,2008-05-24,Country,just got started lovin' you,2008
386,brad paisley,2008-05-31,Country,i'm still a guy,2008
387,brad paisley,2008-06-07,Country,i'm still a guy,2008
388,brad paisley,2008-06-14,Country,i'm still a guy,2008
389,carrie underwood,2008-06-21,Country,last name,2008
390,kenny chesney,2008-06-28,Country,better as a memory,2008
391,kenny chesney,2008-07-05,Country,better as a memory,2008
392,montgomery gentry,2008-07-12,Country,back when i knew it all,2008
393,blake shelton,2008-07-19,Country,home,2008
394,blake shelton,2008-07-26,Country,home,2008
395,alan jackson,2008-08-02,Country,good time,2008
396,alan jackson,2008-08-09,Country,good time,2008
397,sugarland,2008-08-16,Country,all i want to do,2008
398,taylor swift,2008-08-23,Country,should've said no,2008
399,taylor swift,2008-08-30,Country,should've said no,2008
400,keith urban,2008-09-06,Country,you look good in my shirt,2008
401,jimmy wayne,2008-09-13,Country,do you believe me now,2008
402,brad paisley,2008-09-20,Country,waitin' on a woman,2008
403,jimmy wayne,2008-09-27,Country,do you believe me now,2008
404,darius rucker,2008-10-04,Country,don't think i don't think about it,2008
405,darius rucker,2008-10-11,Country,don't think i don't think about it,2008
406,kenny chesney,2008-10-18,Country,everybody wants to go to heaven,2008
407,kenny chesney with the wailers,2008-10-25,Country,everybody wants to go to heaven,2008
408,toby keith,2008-11-01,Country,she never cried in front of me,2008
409,carrie underwood,2008-11-08,Country,just a dream,2008
410,carrie underwood,2008-11-15,Country,just a dream,2008
411,taylor swift,2008-11-22,Country,love story,2008
412,taylor swift,2008-11-29,Country,love story,2008
413,zac brown band,2008-12-06,Country,chicken fried,2008
414,zac brown band,2008-12-13,Country,chicken fried,2008
415,montgomery gentry,2008-12-20,Country,roll with me,2008
416,montgomery gentry,2008-12-27,Country,roll with me,2008
417,rascal flatts,2009-01-03,Country,here,2009
418,rascal flatts,2009-01-10,Country,here,2009
419,sugarland,2009-01-17,Country,already gone,2009
420,brad paisley duet with keith urban,2009-01-24,Country,start a band,2009
